"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"1700123M08Rik"	0.490131327087889	0.80412792820324	0.199104589976667	0.543447881334638	0.148329270779641	0.710311782786702	0.708245036002212	1.27699848510367	1.17219948292916	1.20683135803237	0.437868559181465	1.28091716823852
"1700123O20Rik"	5.45968125569339	5.78608066138435	5.86771549612403	5.66475708572813	5.60688226852743	5.70317580007883	5.93749461134779	5.96881841462633	5.96473241818722	6.0411966012658	5.8779201613607	6.08091268247162
"1810006J02Rik"	-0.95623964514839	0.140523046628181	-0.188186153781515	0.198981888308203	1.3901548453771	0.339262235756501	2.20340074236058	1.96440827613769	2.44370304665794	2.36839209020663	2.36063980944368	2.54494649787344
"1810013L24Rik"	5.43539787141769	4.77341286164419	5.18555415884828	5.2076612257976	5.24353800823318	5.22659747503696	5.58803395840713	5.5568206906358	5.18239907489943	5.09917093932514	4.83572887883136	5.12953093090362
"1810014B01Rik"	3.05067716781473	3.20537752285733	3.15897776718463	3.12634415394	3.46881606960276	3.39798285101955	2.89051661818338	2.64576216630927	2.88407582699397	3.24407645402517	2.69549513610468	2.68709272543939
"1810022K09Rik"	6.4988567148127	6.60324660759618	6.58924700808817	6.73544447303006	6.89861961008513	6.8776058388679	7.05222205624401	7.16098179456854	6.60967781844706	6.6544064497029	6.36795224338627	6.66344044707319
"1810026B05Rik"	4.56514548001764	4.6733656196471	4.72497336733391	4.53471471709672	4.67363955314064	4.61209422736548	6.17610606759955	5.80318300216671	5.94737484327932	5.88184678810346	4.99596317211182	5.85719927134322
"1810026J23Rik"	5.48356265981251	4.63362404839195	4.50220599699494	5.07040916063494	4.8588026271567	4.92783833138189	4.69157065998484	4.88468111401267	4.10364350549165	3.39758854286845	3.11659766085345	3.90255313274846
"1810030O07Rik"	6.56396992709712	6.52782432163366	6.64719317115667	6.50080438624896	6.67824900616968	6.508726102645	6.42410666646758	6.67660040250864	6.54959618766	6.55654387792172	6.63909410914594	6.56559221303197
"1810032O08Rik"	3.11646543769696	3.26604885302048	3.32381310561463	3.66731600474751	4.10662029240858	3.35938456418268	4.04849401075316	3.43367810943686	3.71244538109094	3.86488134261853	3.41765942597042	3.69792201003215
"1810034E14Rik"	3.35318142891156	2.81658710132587	3.27630934448747	1.85774060309788	2.69627711902081	2.63874092963181	2.85862957273123	3.24649199031448	3.19769408620815	2.48839970790353	2.66806931429191	2.93521439926144
"1810037I17Rik"	7.50368007383749	7.36649666203805	7.52242698411233	7.82277430982803	7.95695319672815	8.04624154501928	7.10922938613472	7.19913276132453	6.86518247056696	7.03244385803005	6.97189087086288	7.05894997812491
"1810041H14Rik"	2.40849644599783	2.59800769987674	2.15230227885256	1.99478007563662	1.91406560928414	1.82284419769084	4.49816573374754	4.42915775590021	3.76094254049679	4.2216135412264	3.48992559741385	3.45216858233452
"1810043G02Rik"	3.00277262995039	2.76496789052742	2.75910240121449	2.29696947879482	2.53683089632272	2.51543184680744	3.08678747205735	3.28754244275586	3.85826594949966	3.57750327701137	3.27041530112897	3.27519643176355
"1810043H04Rik"	5.58464892622469	5.50067085133205	5.60634612880818	5.61246619061718	5.69086677335607	5.76231213912696	6.16202282120694	6.2142396528055	5.94853853466404	5.86254123290105	5.73820202605033	5.65184874469088
"1810044D09Rik"	0.840902430644488	1.3718170599797	1.60403588182517	0.262411412126091	0.878603115872249	0.936925321545173	1.0841415318301	1.98452032320348	1.92492185590848	1.57538424810705	0.881681422199663	1.54811272824928
"1810055G02Rik"	3.32563054192918	2.95200654055994	3.29231835774837	3.51937475927996	3.31850812439484	3.63186737885945	1.79532707900089	1.88103330457163	2.13576150887917	1.72947547754873	2.4915711221284	2.94553906874833
"1810058I24Rik"	5.75749823976966	5.93480962592095	5.94316859577981	5.66475708572813	5.85458728265548	5.8530868905624	6.80974345134467	6.84005216532488	6.73568323591115	6.56595244418892	6.36368457534872	6.7118747766456
