"D4B61"	"D4B62"	"D4B63"	"D4KO1"	"D4KO2"	"D4KO3"	"D6B61"	"D6B62"	"D6B63"	"D6KO1"	"D6KO2"	"D6KO3"
"1700123M08Rik"	0.3979238889908	0.711920490106151	0.106897151879578	0.451240443237549	0.0561218326825516	0.618104344689613	0.616037597905123	1.18479104700658	1.07999204483207	1.11462391993528	0.345661121084376	1.18870973014143
"1700123O20Rik"	4.54205855396711	4.86845795965807	4.95009279439774	4.74713438400185	4.68925956680115	4.78555309835255	5.01987190962151	5.05119571290005	5.04710971646093	5.12357389953952	4.96029745963442	5.16328998074533
"1810006J02Rik"	-1.71069961877387	-0.613936926997298	-0.942646127406993	-0.555478085317276	0.635694871751623	-0.415197737868978	1.4489407687351	1.20994830251221	1.68924307303246	1.61393211658115	1.6061798358182	1.79048652424796
"1810013L24Rik"	3.40895189111388	2.74696688134039	3.15910817854448	3.1812152454938	3.21709202792938	3.20015149473316	3.56158797810332	3.530374710332	3.15595309459563	3.07272495902134	2.80928289852756	3.10308495059982
"1810014B01Rik"	2.35468335470483	2.50938370974743	2.46298395407473	2.4303503408301	2.77282225649286	2.70198903790965	2.19452280507348	1.94976835319937	2.18808201388407	2.54808264091527	1.99950132299478	1.99109891232949
"1810022K09Rik"	7.81718257301987	7.92157246580334	7.90757286629534	8.05377033123722	8.21694546829229	8.19593169707507	8.37054791445118	8.4793076527757	7.92800367665422	7.97273230791007	7.68627810159344	7.98176630528035
"1810026B05Rik"	2.20253532632727	2.31075546595673	2.36236321364354	2.17210456340635	2.31102939945027	2.24948407367511	3.81349591390918	3.44057284847634	3.58476468958895	3.51923663441309	2.63335301842145	3.49458911765285
"1810026J23Rik"	3.81907981944783	2.96914120802727	2.83772315663026	3.40592632027025	3.19431978679202	3.2633554910172	3.02708781962016	3.22019827364799	2.43916066512697	1.73310570250376	1.45211482048877	2.23807029238378
"1810030O07Rik"	5.20107928443126	5.1649336789678	5.28430252849081	5.1379137435831	5.31535836350382	5.14583545997914	5.06121602380172	5.31370975984278	5.18670554499414	5.19365323525586	5.27620346648008	5.20270157036611
"1810032O08Rik"	2.11863110491508	2.2682145202386	2.32597877283275	2.66948167196562	3.10878595962669	2.36155023140079	3.05065967797127	2.43584377665497	2.71461104830906	2.86704700983665	2.41982509318853	2.70008767725026
