© 2000-2022 QIAGEN. All rights reserved.

Expr Log Ratio	Expr False Discovery Rate (q-value)	ID	Flags	Symbol	Entrez Gene Name	Location	Type(s)	Drug(s)	
-0.154	8.17E-01	4632427E13Rik	 	4632427E13Rik	RIKEN cDNA 4632427E13 gene	Other	other	 	
0.210	6.97E-01	4833417C18Rik	 	4833417C18Rik	RIKEN cDNA 4833417C18 gene	Other	other	 	
-0.512	1.21E-01	4921531C22Rik	 	4921531C22Rik	RIKEN cDNA 4921531C22 gene	Other	other	 	
-0.371	5.26E-01	4930413G21Rik	 	4930413G21Rik	RIKEN cDNA 4930413G21 gene	Other	other	 	
-1.463	1.39E-02	4930417O13Rik	 	4930417O13Rik	RIKEN cDNA 4930417O13 gene	Other	other	 	
-0.398	1.79E-01	4930481A15Rik	 	4930481A15Rik	RIKEN cDNA 4930481A15 gene	Cytoplasm	enzyme	 	
0.074	8.62E-01	4930486L24Rik	 	4930486L24Rik	RIKEN cDNA 4930486L24 gene	Plasma Membrane	peptidase	 	
-0.057	9.41E-01	4930515G01Rik	 	4930515G01Rik	RIKEN cDNA 4930515G01 gene	Other	other	 	
0.361	5.75E-01	4930520O04Rik	 	4930520O04Rik	RIKEN cDNA 4930520O04 gene	Other	other	 	
-0.583	1.15E-01	4930526I15Rik	 	4930526I15Rik	RIKEN cDNA 4930526I15 gene	Other	other	 	
0.347	5.63E-01	4930539J05Rik	 	4930539J05Rik	RIKEN cDNA 4930539J05 gene	Other	other	 	
-0.083	9.02E-01	4930558J18Rik	 	4930558J18Rik	RIKEN cDNA 4930558J18 gene	Other	other	 	
-0.494	3.72E-01	4930579G18Rik	 	4930579G18Rik	RIKEN cDNA 4930579G18 gene	Other	other	 	
-0.675	2.67E-01	4930581F22Rik	 	4930581F22Rik	RIKEN cDNA 4930581F22 gene	Other	other	 	
0.814	2.09E-01	4931406H21Rik	 	4931406H21Rik	RIKEN cDNA 4931406H21 gene	Other	other	 	
0.193	7.13E-01	4933404O12Rik	 	4933404O12Rik	RIKEN cDNA 4933404O12 gene	Other	other	 	
0.042	9.46E-01	4933407K13Rik	 	4933407K13Rik	RIKEN cDNA 4933407K13 gene	Other	other	 	
-0.480	7.57E-02	4933412E12Rik	 	4933412E12Rik	RIKEN cDNA 4933412E12 gene	Other	other	 	
-0.594	1.69E-01	4933439C10Rik	 	4933439C10Rik	RIKEN cDNA 4933439C10 gene	Other	other	 	
-0.724	6.72E-03	5031425E22Rik	 	5031425E22Rik	RIKEN cDNA 5031425E22 gene	Other	other	 	
0.110	8.66E-01	5430405H02Rik	 	5430405H02Rik	RIKEN cDNA 5430405H02 gene	Other	other	 	
0.317	2.29E-01	5430416N02Rik	 	5430416N02Rik	RIKEN cDNA 5430416N02 gene	Other	other	 	
-0.324	6.92E-01	5430431A17Rik	 	5430431A17Rik	RIKEN cDNA 5430431A17 gene	Other	other	 	
0.163	6.41E-01	5530601H04Rik	 	5530601H04Rik	RIKEN cDNA 5530601H04 gene	Other	other	 	
-0.177	7.31E-01	5730408K05Rik	 	5730408K05Rik	RIKEN cDNA 5730408K05 gene	Other	other	 	
-0.166	7.34E-01	5830416I19Rik	 	5830416I19Rik	RIKEN cDNA 5830416I19 gene	Other	other	 	
0.164	4.65E-01	5830417I10Rik	 	5830417I10Rik	gon-4-like pseudogene	Other	other	 	
-0.712	4.31E-02	5830428M24Rik	 	5830428M24Rik	RIKEN cDNA 5830428M24 gene	Other	other	 	
-0.066	9.05E-01	5830432E09Rik	 	5830432E09Rik	RIKEN cDNA 5830432E09 gene	Other	other	 	
-0.358	6.21E-01	5830444B04Rik	 	5830444B04Rik	RIKEN cDNA 5830444B04 gene	Other	other	 	
-0.750	3.42E-01	5830454E08Rik	 	5830454E08Rik	RIKEN cDNA 5830454E08 gene	Other	other	 	
-0.548	3.42E-01	5930430L01Rik	 	5930430L01Rik	RIKEN cDNA 5930430L01 gene	Other	other	 	
-0.230	6.79E-01	6330549D23Rik	 	6330549D23Rik	RIKEN cDNA 6330549D23 gene	Other	other	 	
-1.556	1.50E-01	6430562O15Rik	 	6430562O15Rik	RIKEN cDNA 6430562O15 gene	Other	other	 	
-0.353	1.84E-01	6530402F18Rik	 	6530402F18Rik	RIKEN cDNA 6530402F18 gene	Other	other	 	
0.376	3.81E-01	6720489N17Rik	 	6720489N17Rik	RIKEN cDNA 6720489N17 gene	Other	other	 	
0.154	6.89E-01	6820431F20Rik	 	6820431F20Rik	cadherin 11 pseudogene	Other	other	 	
-0.175	6.76E-01	8430429K09Rik	 	8430429K09Rik	RIKEN cDNA 8430429K09 gene	Other	other	 	
0.117	7.94E-01	9030025P20Rik	D	9030025P20Rik/Gm3435	 	Other	other	 	
-0.171	8.38E-01	Gm3435	D	9030025P20Rik/Gm3435	 	Other	other	 	
0.152	7.63E-01	9130019O22Rik	D	9130019O22Rik/Zfp747	RIKEN cDNA 9130019O22 gene	Other	other	 	
-0.039	9.02E-01	Zfp747	D	9130019O22Rik/Zfp747	RIKEN cDNA 9130019O22 gene	Other	other	 	
-0.010	9.78E-01	9130023H24Rik	 	9130023H24Rik	RIKEN cDNA 9130023H24 gene	Other	other	 	
-0.859	1.72E-01	9130221H12Rik	 	9130221H12Rik	RIKEN cDNA 9130221H12 gene	Other	other	 	
-0.230	6.48E-01	9230114K14Rik	 	9230114K14Rik	RIKEN cDNA 9230114K14 gene	Other	other	 	
-0.098	8.38E-01	9330020H09Rik	 	9330020H09Rik	RIKEN cDNA 9330020H09 gene	Other	other	 	
-0.263	3.01E-01	9330133O14Rik	 	9330133O14Rik	RIKEN cDNA 9330133O14 gene	Other	other	 	
0.149	8.25E-01	9330151L19Rik	 	9330151L19Rik	RIKEN cDNA 9330151L19 gene	Other	other	 	
0.757	8.53E-02	9330175E14Rik	 	9330175E14Rik	RIKEN cDNA 9330175E14 gene	Other	other	 	
-1.305	6.72E-02	9330179D12Rik	 	9330179D12Rik	RIKEN cDNA 9330179D12 gene	Other	other	 	
0.382	9.10E-02	9430038I01Rik	 	9430038I01Rik	 	Other	other	 	
-0.152	7.56E-01	9430091E24Rik	 	9430091E24Rik	RIKEN cDNA 9430091E24 gene	Other	other	 	
-0.120	6.69E-01	9530082P21Rik	 	9530082P21Rik	RIKEN cDNA 9530082P21 gene	Other	other	 	
-0.440	1.05E-01	9930111J21Rik1	 	9930111J21Rik1/Gm12185	predicted gene 12185	Other	other	 	
-0.243	6.32E-01	9930111J21Rik2	 	9930111J21Rik2	RIKEN cDNA 9930111J21 gene 2	Other	other	 	
-0.020	9.75E-01	A230072C01Rik	 	A230072C01Rik	RIKEN cDNA A230072C01 gene	Other	other	 	
0.245	7.09E-01	A330069E16Rik	 	A330069E16Rik	RIKEN cDNA A330069E16 gene	Other	other	 	
0.142	5.06E-01	A430033K04Rik	 	A430033K04Rik	RIKEN cDNA A430033K04 gene	Nucleus	other	 	
-0.205	6.72E-01	A430046D13Rik	 	A430046D13Rik	Riken cDNA A430046D13 gene	Other	other	 	
-1.500	1.75E-03	A430088P11Rik	 	A430088P11Rik	RIKEN cDNA A430088P11 gene	Other	other	 	
0.712	4.09E-03	A430093F15Rik	 	A430093F15Rik	RIKEN cDNA A430093F15 gene	Other	other	 	
-0.091	9.09E-01	A530072M11Rik	 	A530072M11Rik	RIKEN cDNA gene A530072M11	Other	other	 	
-1.048	8.54E-02	A530088E08Rik	 	A530088E08Rik	RIKEN cDNA A530088E08 gene	Other	other	 	
-0.111	5.22E-01	A630001G21Rik	 	A630001G21Rik	 	Other	other	 	
-1.449	1.05E-03	A630023P12Rik	 	A630023P12Rik	RIKEN cDNA A630023P12 gene	Other	other	 	
0.236	6.97E-01	A630066F11Rik	 	A630066F11Rik	RIKEN cDNA A630066F11 gene	Other	other	 	
0.054	9.44E-01	A630072M18Rik	 	A630072M18Rik	RIKEN cDNA A630072M18 gene	Other	other	 	
0.304	2.46E-01	A630089N07Rik	 	A630089N07Rik	RIKEN cDNA A630089N07 gene	Other	other	 	
