gene	length	logFC	logCPM	F	PValue	FDR
Psenen	790	-0.101549765	6.765536047	1.408113486	0.254655819	0.467991383
Raly	6087	-0.134158226	7.736354984	1.40716966	0.254807902	0.468083219
Brox	4159	-0.118230307	5.342564362	1.407449381	0.254762817	0.468083219
Nudt1	1224	0.114908974	5.373424246	1.407029328	0.254830525	0.468083219
n-THgtg5	72	-0.626625882	0.185465422	1.404512609	0.255236695	0.468676353
Kctd3	4124	0.267570853	3.479484367	1.404569451	0.255227512	0.468676353
Xpo7	7379	0.149914903	6.285273557	1.403225593	0.255444739	0.468981877
Gadd45b	1266	-0.278484615	5.458969407	1.402608204	0.255544619	0.469047714
Mxd1	4738	-0.14905989	4.196034446	1.402382454	0.255581153	0.469047714
Nipsnap2	2290	-0.133512773	5.423358377	1.402231483	0.255605589	0.469047714
LOC118567874	5494	0.521706767	0.769033534	1.400862932	0.255827246	0.469107375
Gm13528	6124	0.493609813	1.27628536	1.400744467	0.255846446	0.469107375
Rbm41	7978	-0.228651915	2.742276855	1.401428131	0.255735673	0.469107375
Ash1l	13660	-0.14184852	5.315006334	1.401266772	0.255761812	0.469107375
Ubb-ps	703	-0.118504813	8.245250016	1.400909626	0.255819679	0.469107375
Timm10b	1985	0.096377134	6.841844348	1.400376987	0.255906014	0.469140189
Rps15a-ps4	697	-0.417263122	0.807630959	1.398678149	0.256181635	0.469492569
Arhgap5	9948	0.371705486	2.658731672	1.398776383	0.256165687	0.469492569
Zfp821	2852	-0.229876129	3.838769039	1.398276874	0.256246796	0.469535552
Stx6	6676	0.076354714	7.417872073	1.397718625	0.256337485	0.469625289
Chst14	2089	-0.229039119	2.568756735	1.396419669	0.256548667	0.469671654
Cog6	2920	0.125900377	6.161893812	1.396222272	0.25658078	0.469671654
Ttc9c	3629	0.118206001	5.814305838	1.396023599	0.256613106	0.469671654
Sub1	3359	0.111519786	8.873048589	1.396246022	0.256576916	0.469671654
Arf3	3738	0.108389315	8.019961321	1.39702481	0.256450255	0.469671654
Smad2	14167	-0.083840511	6.690166332	1.396436162	0.256545984	0.469671654
Fam3a	2540	-0.154110095	4.336633326	1.395661664	0.25667201	0.469703102
Vipas39	3081	-0.118921618	5.456132767	1.394716658	0.256825892	0.469908319
Tent4b	6239	0.161176122	4.126291169	1.394150388	0.25691816	0.470000755
Gm41949	7402	0.29541499	3.02191385	1.393789023	0.256977065	0.470032136
Kri1	2598	-0.150662155	4.284753379	1.392151819	0.257244163	0.47028456
Atg3	2013	0.133028191	6.640238098	1.39236048	0.257210101	0.47028456
Rad21	4046	-0.10800268	6.62569793	1.391663276	0.257323938	0.47028456
Rfc2	1518	0.105738237	7.482842205	1.392039519	0.257262498	0.47028456
Plaa	7027	0.105548621	7.086599539	1.391792368	0.257302855	0.47028456
Arhgef5	5466	0.447765827	1.008314933	1.390465288	0.257519697	0.470518531
Setd6	2424	0.262831662	4.544112834	1.390368342	0.257535547	0.470518531
Slc39a13	3606	-0.141947576	4.158263771	1.389390715	0.257695458	0.470730753
Cox6c	503	-0.092042288	8.800945246	1.389147074	0.257735332	0.470730753
Atxn7l2	2637	0.184773351	3.109124664	1.388603432	0.257824331	0.470816922
Ftx	7491	-0.312453872	1.914614532	1.386884198	0.258106057	0.471113062
Carnmt1	4837	0.309804528	4.091048201	1.386752171	0.258127709	0.471113062
Phc3	11199	0.131538387	4.844021054	1.386717317	0.258133426	0.471113062
Ncstn	3186	-0.106258294	6.822568344	1.386592555	0.258153889	0.471113062
Sec13	1301	0.099507859	7.783877118	1.385884587	0.25827005	0.471248658
Tsc2	6459	-0.118112487	6.009882322	1.385249291	0.258374346	0.471362565
Eps8l1	5082	-0.971843939	2.653205112	1.382847192	0.258769208	0.472006439
Mcee	847	0.183499067	4.35181007	1.382424058	0.258838847	0.47205698
Gfpt1	6414	0.139196144	4.617262568	1.382046065	0.258901078	0.472093996
Limk1	5372	-0.407244754	2.396980195	1.381751744	0.258949547	0.472105911
E2f6	4203	0.16582272	5.045703108	1.380654733	0.259130312	0.472358979
Ago1	7442	0.151738352	4.611473343	1.3801896	0.259207007	0.472422291
Scaf4	9898	0.207091243	5.179784891	1.377963525	0.259574483	0.473015463
Kcnk6	4089	0.417351341	0.278428185	1.375925361	0.25991155	0.473553039
Neu3	3392	-0.167992411	5.111427013	1.375290854	0.260016602	0.473667784
Mlf1	1161	0.425354338	1.31257479	1.374169051	0.260202473	0.473836415
Dip2c	8237	-0.353531011	1.451385521	1.373994	0.260231494	0.473836415
Cnr2	4337	-0.23791687	3.10179848	1.373716383	0.260277526	0.473836415
Gpbp1l1	3809	-0.139810577	5.713768614	1.373862305	0.260253329	0.473836415
Pdcd2	6326	0.156193148	5.211511914	1.373186815	0.260365366	0.47391969
Paxbp1	3826	-0.136928101	4.880476155	1.372614121	0.260460403	0.473939424
Eif2d	14558	0.09253627	6.259595353	1.372822202	0.260425867	0.473939424
Kbtbd6	2982	0.36309764	2.227906328	1.370002572	0.260894374	0.474575676
Insig1	2648	-0.171373564	5.996503592	1.370014054	0.260892463	0.474575676
Scly	2739	0.13840847	4.668445538	1.369322181	0.261007595	0.474704928
Mrps26	962	0.093451438	6.363069172	1.368556996	0.261135006	0.474859942
Cenpc1	5354	-0.168347132	5.014486527	1.364943077	0.261737885	0.475839352
Ndufs1	3657	0.087442809	6.855375461	1.364821872	0.261758137	0.475839352
Rftn2	5352	-0.372928158	1.445285429	1.364369684	0.26183371	0.475899889
Pomp	740	0.08413376	8.33703852	1.363410201	0.261994164	0.476114657
Hexim2	11669	-0.288491405	2.317487364	1.362558397	0.262136721	0.476296838
Khdc4	3790	0.128868991	5.842012614	1.362095244	0.262214278	0.476311636
Pygb	3838	-0.123124648	7.411732686	1.362004463	0.262229483	0.476311636
Gpatch2l	9395	-0.133219019	5.671483654	1.361696569	0.262281062	0.476328471
Trav19	341	-0.396767786	1.430935477	1.360657941	0.262455154	0.476490909
Morc2a	6483	0.122941931	5.141645818	1.360704637	0.262447324	0.476490909
Gm36445	2037	-0.335312606	2.508623942	1.359498018	0.262649762	0.476563336
Gm38712	4069	-0.264734823	2.574426477	1.359158844	0.262706703	0.476563336
Tmem185b	2830	-0.124949201	5.150179577	1.35929383	0.262684039	0.476563336
Haus7	1365	0.118520823	5.708118689	1.359726853	0.262611353	0.476563336
Sting1	2329	0.084326593	8.158231952	1.359597464	0.262633069	0.476563336
Zfp933	5977	0.434861847	2.110402731	1.358680607	0.262787019	0.476602622
F730043M19Rik	1551	0.393207978	0.798156515	1.358366168	0.262839845	0.476602622
H2ac22	475	-0.356375286	1.224882788	1.358273813	0.262855363	0.476602622
Ash2l	3537	0.096971374	6.759495241	1.357242165	0.263028793	0.476840282
Trav13-1	331	-0.449237186	2.905557926	1.356477401	0.263157456	0.476996723
Ccar1	4564	0.081286325	7.463559564	1.355378952	0.263342406	0.47725512
Poll	2848	-0.135262779	4.841453108	1.354996059	0.263406916	0.477295197
Ints1	7151	-0.117458657	6.14668442	1.353419145	0.263672818	0.477700127
Kcnq5	15312	0.45465687	2.072111848	1.352460897	0.263834576	0.477839391
1110002L01Rik	3300	0.380873144	1.92051024	1.352524975	0.263823755	0.477839391
Slc25a1	1678	0.118927176	6.171443704	1.352061449	0.263902044	0.477884706
Banp	5925	0.180177998	4.678336738	1.35042831	0.264178129	0.478307715
