gene	length	logFC	logCPM	F	PValue	FDR
S100a6	719	-1.697659479	5.525828571	19.41834314	0.00056504	0.008093155
Acvrl1	3788	-1.70919075	3.294953431	24.56794328	0.000196447	0.00399928
Syp	2482	-1.711474021	2.684588095	26.24667639	0.000143678	0.003165409
Rtp4	2945	-1.721976428	4.771038726	73.15304914	5.23E-07	0.00010142
Gm46412	10914	-1.725802256	1.747828348	14.23652975	0.001978625	0.018896314
2210417A02Rik	550	-1.735557292	0.535851104	9.283553229	0.008505684	0.05033002
Tnfrsf25	2541	-1.746970566	5.179038918	129.2811664	1.45E-08	1.13E-05
Syt13	3751	-1.767127411	0.262184109	16.94261776	0.000999877	0.011899169
Apold1	3284	-1.771150805	0.746363176	19.03138578	0.000615903	0.008574536
C030034L19Rik	5830	-1.771780114	1.999354715	33.01725202	4.61E-05	0.001489848
Orm3	2491	-1.775455217	0.912506342	11.26562003	0.004567486	0.03317468
Gm11346	1116	-1.786547789	3.790603768	55.13590821	2.79E-06	0.000273296
Oasl2	3136	-1.791321449	0.530067739	21.6527031	0.00035034	0.005931025
Atp1a3	4092	-1.792297475	0.668576563	24.36487937	0.000204218	0.004113793
Gmfg-ps	576	-1.799613618	0.837836841	21.91094064	0.000332187	0.005718295
S100a3	3206	-1.800949978	1.121564105	22.59915891	0.000288829	0.00524024
Acss1	3613	-1.815315378	4.26446686	75.35736393	4.36E-07	8.62E-05
F2rl1	2768	-1.838626452	0.959188653	12.77872539	0.002945026	0.024875851
Man1c1	6382	-1.857541547	0.270844888	10.6142495	0.005567798	0.037624413
Gm30712	4505	-1.865438391	1.563759531	14.79451017	0.001709255	0.017029018
Cebpa	2636	-1.947386505	0.981711884	6.419034783	0.023530427	0.100077652
Rasgef1a	3582	-1.987929437	1.736974072	19.34464868	0.000574345	0.008174429
Ryr1	15442	-1.998604779	0.448076336	21.89413641	0.000333335	0.005729297
S100a4	597	-2.009454984	2.867039369	22.9614038	0.000268625	0.004990396
Gm17455	1192	-2.016808579	0.214816033	13.49398758	0.002415973	0.021569405
Gm46941	398	-2.047236801	0.540683604	11.71826986	0.003993566	0.030439789
Epdr1	2387	-2.052674218	0.759649798	9.511790804	0.007894078	0.04772907
Gpr146	7193	-2.065552983	3.525531615	45.06261518	8.75E-06	0.000538319
Kif5c	6868	-2.073425428	0.827230663	23.86493089	0.000224893	0.004403202
Emp1	3231	-2.088347168	2.378587344	40.27763253	1.62E-05	0.000798546
