NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GSE11864_CSF1_VS_CSF1_PAM3CYS_IN_MAC_DN	193	124		
GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	195	131		
GSE11864_CSF1_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	197	127		
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_UP	200	140		
GSE11864_CSF1_IFNG_VS_CSF1_PAM3CYS_IN_MAC_DN	196	115		
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	196	149		
GSE11864_CSF1_IFNG_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	195	120		
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_UP	195	116		
GSE11864_CSF1_PAM3CYS_VS_CSF1_IFNG_PAM3CYS_IN_MAC_DN	193	111		
GSE11924_TFH_VS_TH1_CD4_TCELL_UP	199	174		
GSE11924_TFH_VS_TH1_CD4_TCELL_DN	200	112		
GSE11924_TFH_VS_TH2_CD4_TCELL_UP	199	173		
GSE11924_TFH_VS_TH2_CD4_TCELL_DN	200	126		
GSE11924_TFH_VS_TH17_CD4_TCELL_UP	198	171		
GSE11924_TFH_VS_TH17_CD4_TCELL_DN	200	143		
GSE11924_TH1_VS_TH2_CD4_TCELL_UP	200	136		
GSE11924_TH1_VS_TH2_CD4_TCELL_DN	199	112		
GSE11924_TH1_VS_TH17_CD4_TCELL_UP	200	87		
GSE11924_TH1_VS_TH17_CD4_TCELL_DN	199	128		
GSE11924_TH2_VS_TH17_CD4_TCELL_UP	199	104		
GSE11924_TH2_VS_TH17_CD4_TCELL_DN	200	160		
GSE12366_GC_BCELL_VS_PLASMA_CELL_UP	196	163		
GSE12366_GC_BCELL_VS_PLASMA_CELL_DN	194	118		
GSE12366_GC_VS_NAIVE_BCELL_UP	198	144		
GSE12366_GC_VS_NAIVE_BCELL_DN	196	135		
GSE12366_GC_VS_MEMORY_BCELL_UP	198	138		
GSE12366_GC_VS_MEMORY_BCELL_DN	197	141		
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_UP	194	124		
GSE12366_PLASMA_CELL_VS_NAIVE_BCELL_DN	199	152		
GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_UP	192	117		
GSE12366_PLASMA_CELL_VS_MEMORY_BCELL_DN	199	157		
GSE12366_NAIVE_VS_MEMORY_BCELL_UP	194	95		
GSE12366_NAIVE_VS_MEMORY_BCELL_DN	193	130		
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP	199	109		
GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_DN	196	152		
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	195	124		
GSE12845_IGD_POS_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	199	161		
GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP	199	119		
GSE12845_IGD_POS_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	200	162		
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP	196	119		
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	199	166		
GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_UP	198	162		
GSE12845_IGD_NEG_BLOOD_VS_NAIVE_TONSIL_BCELL_DN	197	143		
GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP	199	141		
GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_DN	198	150		
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP	196	135		
GSE12845_IGD_NEG_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	199	166		
GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_UP	198	136		
GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_DN	200	175		
GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_UP	197	121		
GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_DN	200	170		
GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_UP	195	110		
GSE12845_PRE_GC_VS_DARKZONE_GC_TONSIL_BCELL_DN	199	155		
GSE13229_IMM_VS_MATURE_NKCELL_UP	200	111		
GSE13229_IMM_VS_MATURE_NKCELL_DN	199	139		
GSE13229_IMM_VS_INTMATURE_NKCELL_UP	200	91		
GSE13229_IMM_VS_INTMATURE_NKCELL_DN	200	157		
GSE13229_MATURE_VS_INTMATURE_NKCELL_UP	200	82		
GSE13229_MATURE_VS_INTMATURE_NKCELL_DN	198	146		
GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_UP	199	148		
GSE13306_LAMINA_PROPRIA_VS_SPLEEN_TREG_DN	200	100		
GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_UP	200	132		
GSE13306_TREG_VS_TCONV_LAMINA_PROPRIA_DN	200	111		
GSE13306_TREG_VS_TCONV_SPLEEN_UP	200	102		
GSE13306_TREG_VS_TCONV_SPLEEN_DN	199	141		
GSE13306_TREG_RA_VS_TCONV_RA_UP	200	120		
GSE13306_TREG_RA_VS_TCONV_RA_DN	200	84		
GSE13306_TREG_VS_TCONV_UP	198	84		
GSE13306_TREG_VS_TCONV_DN	200	154		
GSE13306_RA_VS_UNTREATED_TREG_UP	199	128		
GSE13306_RA_VS_UNTREATED_TREG_DN	200	94		
GSE13306_RA_VS_UNTREATED_TCONV_UP	200	135		
GSE13306_RA_VS_UNTREATED_TCONV_DN	200	85		
GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP	200	154		
GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN	200	121		
GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_UP	196	92		
GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_DN	198	134		
GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_UP	198	53		
GSE13411_NAIVE_VS_SWITCHED_MEMORY_BCELL_DN	198	138		
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_UP	196	140		
GSE13411_NAIVE_BCELL_VS_PLASMA_CELL_DN	198	105		
GSE13411_NAIVE_VS_MEMORY_BCELL_UP	192	50		
GSE13411_NAIVE_VS_MEMORY_BCELL_DN	198	146		
GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_UP	193	53		
GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_DN	198	145		
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_UP	198	142		
GSE13411_IGM_MEMORY_BCELL_VS_PLASMA_CELL_DN	197	97		
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_UP	200	157		
GSE13411_SWITCHED_MEMORY_BCELL_VS_PLASMA_CELL_DN	194	88		
GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_UP	196	113		
GSE13411_PLASMA_CELL_VS_MEMORY_BCELL_DN	197	155		
GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_UP	199	154		
GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_DN	200	126		
GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_UP	199	153		
GSE13484_UNSTIM_VS_12H_YF17D_VACCINE_STIM_PBMC_DN	200	135		
GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	199	157		
GSE13484_3H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	198	125		
GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	199	153		
GSE13484_12H_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	198	105		
GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_UP	200	139		
GSE13484_12H_VS_3H_YF17D_VACCINE_STIM_PBMC_DN	200	137		
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	200	173		
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_DN	200	124		
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	196	157		
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_DN	182	22		
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_UP	189	67		
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN	199	118		
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP	185	90		
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	200	125		
GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_UP	190	156		
GSE13485_CTRL_VS_DAY21_YF17D_VACCINE_PBMC_DN	186	35		
GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP	185	24		
GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_DN	199	143		
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP	184	26		
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_DN	198	135		
GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_UP	191	129		
GSE13485_DAY1_VS_DAY21_YF17D_VACCINE_PBMC_DN	196	148		
GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_UP	187	88		
GSE13485_DAY3_VS_DAY7_YF17D_VACCINE_PBMC_DN	198	105		
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_UP	193	143		
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	189	21		
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP	197	129		
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_DN	190	30		
GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_UP	191	77		
GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_DN	198	137		
GSE13493_DP_VS_CD4INTCD8POS_THYMOCYTE_UP	199	142		
GSE13493_DP_VS_CD4INTCD8POS_THYMOCYTE_DN	199	147		
GSE13493_DP_VS_CD8POS_THYMOCYTE_UP	199	135		
GSE13493_DP_VS_CD8POS_THYMOCYTE_DN	200	144		
GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_UP	200	142		
GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_DN	197	119		
GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP	195	109		
GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_DN	200	156		
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP	192	101		
GSE13738_RESTING_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN	198	162		
GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_UP	198	132		
GSE13738_TCR_VS_BYSTANDER_ACTIVATED_CD4_TCELL_DN	198	133		
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_UP	200	169		
GSE14000_TRANSLATED_RNA_VS_MRNA_DC_DN	194	120		
GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP	199	168		
GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_DN	194	115		
GSE14000_TRANSLATED_RNA_VS_MRNA_16H_LPS_DC_UP	188	76		
GSE14000_TRANSLATED_RNA_VS_MRNA_16H_LPS_DC_DN	195	129		
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP	198	166		
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_DN	197	112		
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_UP	197	161		
GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_DN	197	121		
GSE14000_UNSTIM_VS_4H_LPS_DC_UP	196	156		
GSE14000_UNSTIM_VS_4H_LPS_DC_DN	198	118		
GSE14000_UNSTIM_VS_16H_LPS_DC_UP	197	145		
GSE14000_UNSTIM_VS_16H_LPS_DC_DN	200	140		
GSE14000_4H_VS_16H_LPS_DC_TRANSLATED_RNA_UP	196	142		
GSE14000_4H_VS_16H_LPS_DC_TRANSLATED_RNA_DN	198	141		
GSE14000_4H_VS_16H_LPS_DC_UP	197	137		
GSE14000_4H_VS_16H_LPS_DC_DN	200	139		
GSE14026_TH1_VS_TH17_UP	200	77		
GSE14026_TH1_VS_TH17_DN	200	113		
GSE14308_TH2_VS_TH1_UP	199	154		
GSE14308_TH2_VS_TH1_DN	200	146		
GSE14308_TH2_VS_TH17_UP	200	158		
GSE14308_TH2_VS_TH17_DN	199	163		
GSE14308_TH2_VS_NAIVE_CD4_TCELL_UP	200	148		
GSE14308_TH2_VS_NAIVE_CD4_TCELL_DN	200	140		
GSE14308_TH2_VS_INDUCED_TREG_UP	197	149		
GSE14308_TH2_VS_INDUCED_TREG_DN	200	151		
GSE14308_TH2_VS_NATURAL_TREG_UP	199	138		
GSE14308_TH2_VS_NATURAL_TREG_DN	199	149		
GSE14308_TH1_VS_TH17_UP	200	143		
GSE14308_TH1_VS_TH17_DN	200	159		
GSE14308_TH1_VS_NAIVE_CD4_TCELL_UP	200	162		
GSE14308_TH1_VS_NAIVE_CD4_TCELL_DN	200	136		
GSE14308_TH1_VS_INDUCED_TREG_UP	200	160		
GSE14308_TH1_VS_INDUCED_TREG_DN	200	146		
GSE14308_TH1_VS_NATURAL_TREG_UP	200	145		
GSE14308_TH1_VS_NATURAL_TREG_DN	199	159		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_UP	200	163		
GSE14308_TH17_VS_NAIVE_CD4_TCELL_DN	199	142		
GSE14308_TH17_VS_INDUCED_TREG_UP	200	161		
GSE14308_TH17_VS_INDUCED_TREG_DN	200	140		
GSE14308_TH17_VS_NATURAL_TREG_UP	200	151		
GSE14308_TH17_VS_NATURAL_TREG_DN	200	149		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP	199	153		
GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_DN	200	151		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP	199	122		
GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_DN	200	162		
GSE14308_INDUCED_VS_NATURAL_TREG_UP	200	130		
GSE14308_INDUCED_VS_NATURAL_TREG_DN	200	161		
GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_UP	194	122		
GSE1432_CTRL_VS_IFNG_1H_MICROGLIA_DN	198	119		
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_UP	200	154		
GSE1432_CTRL_VS_IFNG_6H_MICROGLIA_DN	200	130		
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_UP	200	130		
GSE1432_CTRL_VS_IFNG_24H_MICROGLIA_DN	200	126		
GSE1432_1H_VS_6H_IFNG_MICROGLIA_UP	200	144		
GSE1432_1H_VS_6H_IFNG_MICROGLIA_DN	200	136		
GSE1432_1H_VS_24H_IFNG_MICROGLIA_UP	200	136		
GSE1432_1H_VS_24H_IFNG_MICROGLIA_DN	200	132		
GSE1432_6H_VS_24H_IFNG_MICROGLIA_UP	200	135		
GSE1432_6H_VS_24H_IFNG_MICROGLIA_DN	200	152		
GSE14350_TREG_VS_TEFF_UP	199	182		
GSE14350_TREG_VS_TEFF_DN	200	75		
GSE14350_TREG_VS_TEFF_IN_IL2RB_KO_UP	200	172		
GSE14350_TREG_VS_TEFF_IN_IL2RB_KO_DN	199	103		
GSE14350_IL2RB_KO_VS_WT_TREG_UP	199	151		
GSE14350_IL2RB_KO_VS_WT_TREG_DN	200	136		
GSE14350_IL2RB_KO_VS_WT_TEFF_UP	200	158		
GSE14350_IL2RB_KO_VS_WT_TEFF_DN	200	141		
GSE1448_CTRL_VS_ANTI_VALPHA2_DP_THYMOCYTE_UP	200	133		
GSE1448_CTRL_VS_ANTI_VALPHA2_DP_THYMOCYTE_DN	200	121		
GSE1448_CTRL_VS_ANTI_VBETA5_DP_THYMOCYTE_UP	200	157		
GSE1448_CTRL_VS_ANTI_VBETA5_DP_THYMOCYTE_DN	200	146		
GSE1448_ANTI_VALPHA2_VS_VBETA5_DP_THYMOCYTE_UP	200	152		
GSE1448_ANTI_VALPHA2_VS_VBETA5_DP_THYMOCYTE_DN	200	123		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_UP	197	103		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_DP_THYMOCYTE_DN	197	125		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_UP	199	137		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_CD4_THYMOCYTE_DN	199	140		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	199	165		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN	199	101		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP	199	167		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN	197	121		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_UP	198	139		
GSE1460_INTRATHYMIC_T_PROGENITOR_VS_THYMIC_STROMAL_CELL_DN	200	102		
GSE1460_DP_VS_CD4_THYMOCYTE_UP	200	141		
GSE1460_DP_VS_CD4_THYMOCYTE_DN	200	123		
GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	200	154		
GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN	198	85		
GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP	200	153		
GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN	197	138		
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	195	124		
GSE1460_DP_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	200	139		
GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_UP	200	175		
GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_CORD_BLOOD_DN	197	105		
GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP	199	146		
GSE1460_CD4_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_DN	200	128		
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP	198	134		
GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_DN	199	115		
GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP	196	121		
GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_DN	199	151		
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_UP	193	106		
GSE1460_NAIVE_CD4_TCELL_CORD_BLOOD_VS_THYMIC_STROMAL_CELL_DN	199	145		
GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_UP	193	129		
GSE1460_NAIVE_CD4_TCELL_ADULT_BLOOD_VS_THYMIC_STROMAL_CELL_DN	200	128		
GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_UP	199	58		
GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_DN	200	129		
GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_UP	199	93		
GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_DN	200	154		
GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_UP	200	148		
GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_DN	200	149		
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_UP	200	161		
GSE14769_UNSTIM_VS_80MIN_LPS_BMDM_DN	199	140		
GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_UP	199	155		
GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_DN	200	142		
GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_UP	200	160		
GSE14769_UNSTIM_VS_240MIN_LPS_BMDM_DN	200	151		
GSE14769_UNSTIM_VS_360MIN_LPS_BMDM_UP	200	164		
GSE14769_UNSTIM_VS_360MIN_LPS_BMDM_DN	200	132		
GSE14769_20MIN_VS_360MIN_LPS_BMDM_UP	200	164		
GSE14769_20MIN_VS_360MIN_LPS_BMDM_DN	200	132		
GSE14769_40MIN_VS_360MIN_LPS_BMDM_UP	200	169		
