NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN	GSE37605_FOXP3_FUSION_GFP_VS_IRES_GFP_TREG_C57BL6_DN		90	-0.46433026	-1.6151947	0.0018903592	0.0045963516	0.961	1868	tags=29%, list=18%, signal=35%	
GSE40274_CTRL_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP	GSE40274_CTRL_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP		116	-0.44855487	-1.6150986	0.0	0.0045963875	0.961	1875	tags=38%, list=18%, signal=46%	
GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP	GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP		177	-0.42261887	-1.6148721	0.0	0.0046020746	0.961	1382	tags=27%, list=13%, signal=31%	
GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN	GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_DN		71	-0.47884506	-1.6145056	0.0018832391	0.0046192314	0.961	873	tags=25%, list=8%, signal=27%	
GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP	GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP		109	-0.45260254	-1.614238	0.0	0.0046263863	0.961	1755	tags=29%, list=17%, signal=35%	
GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP	GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP		151	-0.43194053	-1.6133806	0.0	0.0046549453	0.961	2364	tags=34%, list=22%, signal=44%	
GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN	GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN		156	-0.43133613	-1.6133628	0.0	0.004649177	0.961	718	tags=24%, list=7%, signal=26%	
GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_UP	GSE33162_UNTREATED_VS_4H_LPS_STIM_HDAC3_HET_MACROPHAGE_UP		152	-0.43198836	-1.6132182	0.0018621974	0.0046548294	0.961	1891	tags=32%, list=18%, signal=39%	
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_UP	GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_UP		114	-0.44769144	-1.612705	0.0	0.0046689697	0.962	1792	tags=32%, list=17%, signal=39%	
GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP	GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP		168	-0.4292506	-1.611473	0.0018348624	0.004731456	0.965	1437	tags=29%, list=14%, signal=33%	
GSE20727_CTRL_VS_H2O2_TREATED_DC_DN	GSE20727_CTRL_VS_H2O2_TREATED_DC_DN		139	-0.4303598	-1.6112689	0.0	0.004744047	0.965	2170	tags=35%, list=21%, signal=43%	
GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP	GSE37416_0H_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP		144	-0.43609995	-1.6112378	0.0	0.004742543	0.965	2004	tags=33%, list=19%, signal=41%	
