NAME	TITLE	SCORE	
GPATCH4		4.244081	
CHST15		4.237172	
MYBBP1A		4.208714	
GJB2		4.2054787	
MTDH		4.1837187	
FAM162A		4.1817584	
PPRC1		4.1749196	
RABGGTB		4.1746645	
TNFRSF18		4.163342	
CCT3		4.142268	
SIGMAR1		4.137571	
SMS		4.1363263	
POLR2H		4.124131	
DDX18		4.1168914	
SNX5		4.1128974	
NARS		4.103938	
COPS7A		4.0988507	
TBRG4		4.0942583	
POLR1C		4.0843744	
PPAT		4.081176	
APIP		4.073735	
MRPL45		4.0678253	
TMA16		4.058251	
TNFRSF4		4.043572	
1810037I17RIK		4.039416	
POLR2E		4.0383554	
PPA1		4.027491	
PABPC4		4.025241	
IFRD1		4.023049	
ST14		4.0168266	
MRPL13		4.0091953	
PCBP1		4.006737	
PRMT7		3.9930367	
REXO2		3.992911	
SNHG1		3.9915254	
CFDP1		3.9861996	
AATF		3.981711	
MRPS35		3.9668338	
PTCD3		3.964483	
SNRPD3		3.959119	
CTTN		3.950185	
UCHL5		3.9457057	
FUBP1		3.9419847	
DCTD		3.939389	
PRELID2		3.9322762	
TOMM5		3.9275851	
CCDC58		3.9221084	
GNB2L1		3.921563	
AIMP2		3.9136708	
GBP5		3.9100094	
CCT6A		3.9063206	
TUFM		3.9052126	
CCR6		3.9039192	
PYCRL		3.8941228	
PSMG2		3.8847663	
RSL24D1		3.8846111	
GTPBP4		3.879687	
ECE2		3.8784246	
NRP1		3.8745418	
TIMM9		3.8439484	
CCND2		3.8307712	
PRMT5		3.82589	
EBI3		3.819607	
RRP1B		3.809215	
METTL16		3.7860823	
BRIX1		3.7848647	
MRPS25		3.780871	
SRM		3.7798803	
CCDC86		3.7725856	
NSUN2		3.771775	
1110038B12RIK		3.7630708	
HIVEP3		3.7589104	
FASTKD3		3.7586262	
PDCD1LG2		3.7561553	
EEF1D		3.7551968	
TXN2		3.7528346	
CCT5		3.7453911	
ZFP120		3.7402103	
NOTCH2		3.7350733	
BCAP29		3.7320187	
PSME3		3.723212	
UCK2		3.7200465	
44815		3.7129138	
RCC2		3.7022667	
RREB1		3.6934123	
DRG2		3.6897402	
DIMT1		3.6896405	
PFDN2		3.683462	
TRP53		3.6727858	
WDR4		3.67244	
RRP15		3.6674356	
EIF5		3.6649237	
CUL3		3.661823	
A430093F15RIK		3.659266	
DHODH		3.6581016	
SLC19A1		3.6525414	
PCGF5		3.6404085	
PA2G4		3.623272	
IRF5		3.579798	
TFRC		3.5780036	
WDR59		3.5759504	
IMP4		3.57581	
MAN1A		3.5717392	
GALK1		3.5634148	
HK2		3.5615416	
UGDH		3.5615103	
RANBP1		3.5571353	
SYNCRIP		3.5561676	
PENK		3.5518148	
TXNL1		3.5458548	
NOB1		3.5448878	
SLC25A3		3.5408857	
MPHOSPH10		3.5360122	
RPP14		3.5332985	
EIF5A		3.5260115	
JADE2		3.5159757	
FKBP3		3.513397	
FOXP4		3.5129828	
SLC39A4		3.5075362	
CCT8		3.5044298	
HSPBP1		3.5025551	
