NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_POSITIVE	NAKAYA_PBMC_FLUARIX_FLUVIRIN_AGE_18_50YO_CORRELATED_WITH_HAI_28DY_RESPONSE_AT_7DY_POSITIVE		99	0.26850173	0.9661506	0.5564516	0.6303105	1.0	2137	tags=33%, list=20%, signal=41%	
GSE37534_GW1929_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_DN	GSE37534_GW1929_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_FOXP3_TRANSDUCED_DN		154	0.25295696	0.9655072	0.52489626	0.6320277	1.0	1885	tags=20%, list=18%, signal=24%	
GSE14308_TH2_VS_TH1_UP	GSE14308_TH2_VS_TH1_UP		154	0.25327656	0.9650404	0.5201613	0.63317114	1.0	2160	tags=23%, list=21%, signal=29%	
GSE17721_LPS_VS_GARDIQUIMOD_2H_BMDC_DN	GSE17721_LPS_VS_GARDIQUIMOD_2H_BMDC_DN		170	0.24840234	0.96490484	0.5340206	0.63323736	1.0	2629	tags=29%, list=25%, signal=38%	
GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_MAC_DN	GSE360_CTRL_VS_B_MALAYI_HIGH_DOSE_MAC_DN		145	0.2555855	0.9648981	0.5784946	0.63288176	1.0	2028	tags=24%, list=19%, signal=29%	
GSE43863_NAIVE_VS_MEMORY_TH1_CD4_TCELL_D150_LCMV_DN	GSE43863_NAIVE_VS_MEMORY_TH1_CD4_TCELL_D150_LCMV_DN		58	0.29117697	0.96425116	0.52323234	0.63453823	1.0	1941	tags=19%, list=18%, signal=23%	
GSE27786_LSK_VS_ERYTHROBLAST_UP	GSE27786_LSK_VS_ERYTHROBLAST_UP		168	0.25314513	0.9641808	0.5485961	0.6343648	1.0	2051	tags=23%, list=20%, signal=28%	
GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP	GSE9988_ANTI_TREM1_VS_CTRL_TREATED_MONOCYTES_UP		131	0.26013276	0.9637597	0.5518591	0.6353983	1.0	1857	tags=24%, list=18%, signal=29%	
GSE22611_MUTANT_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_DN	GSE22611_MUTANT_NOD2_VS_CTRL_TRANSDUCED_HEK293T_CELL_DN		82	0.27787626	0.962582	0.5199161	0.638894	1.0	1169	tags=20%, list=11%, signal=22%	
GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN	GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_DN		138	0.25686187	0.9624529	0.54831934	0.63891965	1.0	1773	tags=17%, list=17%, signal=20%	
