NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_MITOCHONDRIAL_RNA_3_END_PROCESSING	5		Rejected!	
GOBP_RNA_5_END_PROCESSING	23	21		
GOBP_RRNA_5_END_PROCESSING	5		Rejected!	
GOBP_TRANSCRIPTION_DEPENDENT_TETHERING_OF_RNA_POLYMERASE_II_GENE_DNA_AT_NUCLEAR_PERIPHERY	6		Rejected!	
GOBP_RESPONSE_TO_ACID_CHEMICAL	129	65		
GOBP_RNA_POLYMERASE_I_PREINITIATION_COMPLEX_ASSEMBLY	9		Rejected!	
GOBP_FORMATION_OF_EXTRACHROMOSOMAL_CIRCULAR_DNA	15		Rejected!	
GOBP_GUANINE_NUCLEOTIDE_TRANSPORT	8		Rejected!	
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	523	196		
GOBP_OSSIFICATION	419	175		
GOBP_NEUROTRANSMITTER_UPTAKE	43		Rejected!	
GOBP_REGULATION_OF_NEUROTRANSMITTER_LEVELS	214	84		
GOBP_ACTION_POTENTIAL	143	44		
GOBP_RNA_METHYLATION	83	67		
GOBP_PSEUDOURIDINE_SYNTHESIS	18	18		
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	149	35		
GOBP_OVARIAN_FOLLICLE_DEVELOPMENT	57	23		
GOBP_OVULATION_FROM_OVARIAN_FOLLICLE	10		Rejected!	
GOBP_ANTRAL_OVARIAN_FOLLICLE_GROWTH	9		Rejected!	
GOBP_LUTEINIZATION	12		Rejected!	
GOBP_LUTEOLYSIS	7		Rejected!	
GOBP_OOCYTE_MATURATION	27		Rejected!	
GOBP_FATTY_ACID_ALPHA_OXIDATION	7		Rejected!	
GOBP_RESPONSE_TO_PROTOZOAN	27		Rejected!	
GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS	35		Rejected!	
GOBP_VASCULOGENESIS	80	35		
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	26	19		
GOBP_GANGLIOSIDE_BIOSYNTHETIC_PROCESS	16		Rejected!	
GOBP_MICROTUBULE_BUNDLE_FORMATION	119	34		
GOBP_OSTEOBLAST_DIFFERENTIATION	241	101		
GOBP_UROGENITAL_SYSTEM_DEVELOPMENT	353	128		
GOBP_METANEPHROS_DEVELOPMENT	89	22		
GOBP_TEMPERATURE_HOMEOSTASIS	177	89		
GOBP_FEVER_GENERATION	11		Rejected!	
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION	482	198		
GOBP_REGULATION_OF_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY	36	26		
GOBP_ACROSOME_ASSEMBLY	18		Rejected!	
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	111	40		
GOBP_CELLULAR_GLUCOSE_HOMEOSTASIS	155	76		
GOBP_TRNA_5_LEADER_REMOVAL	13		Rejected!	
GOBP_HISTAMINE_METABOLIC_PROCESS	6		Rejected!	
GOBP_GASTRIC_ACID_SECRETION	18		Rejected!	
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	389	236		
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	26		Rejected!	
GOBP_FORMATION_OF_PRIMARY_GERM_LAYER	123	45		
GOBP_ENDODERM_FORMATION	55	20		
GOBP_CELL_FATE_SPECIFICATION	96	20		
GOBP_CELL_FATE_DETERMINATION	43		Rejected!	
GOBP_MESODERMAL_CELL_FATE_COMMITMENT	17		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_COMMITMENT	15		Rejected!	
GOBP_ENDODERMAL_CELL_FATE_SPECIFICATION	8		Rejected!	
GOBP_FORMATION_OF_TRANSLATION_PREINITIATION_COMPLEX	11		Rejected!	
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	96	42		
GOBP_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION	45	17		
GOBP_NEURAL_CREST_CELL_MIGRATION	60	15		
GOBP_SOMITOGENESIS	65	23		
GOBP_SOMITE_SPECIFICATION	5		Rejected!	
GOBP_ORGAN_INDUCTION	24		Rejected!	
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	199	65		
GOBP_NEURON_MIGRATION	164	65		
GOBP_MEMBRANE_RAFT_ASSEMBLY	11		Rejected!	
GOBP_ESTABLISHMENT_OF_LYMPHOCYTE_POLARITY	14		Rejected!	
GOBP_IMMUNOLOGICAL_SYNAPSE_FORMATION	15		Rejected!	
GOBP_MYELOID_DENDRITIC_CELL_ACTIVATION	29	17		
GOBP_MICROGLIAL_CELL_ACTIVATION	47	23		
GOBP_CELL_ACTIVATION	1095		Rejected!	
GOBP_LEUKOCYTE_HOMEOSTASIS	89	66		
GOBP_PLASMA_MEMBRANE_REPAIR	24	15		
GOBP_NATURAL_KILLER_CELL_DIFFERENTIATION	24	18		
GOBP_NEUTROPHIL_HOMEOSTASIS	16		Rejected!	
GOBP_NEUTROPHIL_APOPTOTIC_PROCESS	7		Rejected!	
GOBP_B_CELL_HOMEOSTASIS	31	26		
GOBP_B_CELL_APOPTOTIC_PROCESS	26	23		
GOBP_NATURAL_KILLER_CELL_PROLIFERATION	14		Rejected!	
GOBP_ANTIBODY_DEPENDENT_CELLULAR_CYTOTOXICITY	5		Rejected!	
GOBP_CYTOKINE_PRODUCTION	828	387		
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	365	146		
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	476	249		
GOBP_SEROTONIN_SECRETION	9		Rejected!	
GOBP_HISTAMINE_SECRETION	12		Rejected!	
GOBP_MESONEPHROS_DEVELOPMENT	99	23		
GOBP_BLASTOCYST_DEVELOPMENT	113	74		
GOBP_BLASTOCYST_FORMATION	43	29		
GOBP_INNER_CELL_MASS_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	19		Rejected!	
GOBP_BLASTOCYST_GROWTH	21	16		
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	13		Rejected!	
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	56	39		
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	164	73		
GOBP_NEURAL_PLATE_MORPHOGENESIS	5		Rejected!	
GOBP_NEURAL_PLATE_DEVELOPMENT	8		Rejected!	
GOBP_NEURAL_TUBE_FORMATION	104	67		
GOBP_NEURAL_FOLD_FORMATION	6		Rejected!	
GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_MEMBRANE_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY	6		Rejected!	
GOBP_PHAGOLYSOSOME_ASSEMBLY	17		Rejected!	
GOBP_NK_T_CELL_DIFFERENTIATION	10		Rejected!	
GOBP_NK_T_CELL_PROLIFERATION	9		Rejected!	
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	12		Rejected!	
GOBP_RESPONSE_TO_YEAST	7		Rejected!	
GOBP_RECEPTOR_RECYCLING	33	24		
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT	69	41		
GOBP_ENDOTHELIAL_CELL_MORPHOGENESIS	11		Rejected!	
GOBP_PLACENTA_DEVELOPMENT	148	73		
GOBP_EMBRYONIC_PLACENTA_DEVELOPMENT	88	46		
GOBP_MATERNAL_PLACENTA_DEVELOPMENT	33	17		
GOBP_RETINA_HOMEOSTASIS	80	26		
GOBP_CELL_KILLING	187	75		
GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY	130	62		
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	85	38		
GOBP_T_CELL_MEDIATED_CYTOTOXICITY	50	17		
GOBP_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	40		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	10		Rejected!	
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	30		Rejected!	
GOBP_REGULATION_OF_RECEPTOR_RECYCLING	22	17		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_RECYCLING	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_RECYCLING	12		Rejected!	
GOBP_B_1_B_CELL_DIFFERENTIATION	5		Rejected!	
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	1104		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	726	351		
GOBP_ENDOTHELIAL_CELL_PROLIFERATION	201	61		
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	77		Rejected!	
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION	111	43		
GOBP_POSTSYNAPTIC_MEMBRANE_ORGANIZATION	36		Rejected!	
GOBP_VASCULATURE_DEVELOPMENT	819	310		
GOBP_LYMPH_VESSEL_DEVELOPMENT	30		Rejected!	
GOBP_LYMPHANGIOGENESIS	18		Rejected!	
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION	123	61		
GOBP_NEGATIVE_REGULATION_OF_CELL_MATRIX_ADHESION	40	17		
GOBP_POSITIVE_REGULATION_OF_CELL_MATRIX_ADHESION	55	28		
GOBP_BLOOD_VESSEL_MATURATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION	17		Rejected!	
GOBP_SYNAPTIC_TRANSMISSION_DOPAMINERGIC	27		Rejected!	
GOBP_STARTLE_RESPONSE	24		Rejected!	
GOBP_SUCKLING_BEHAVIOR	12		Rejected!	
GOBP_BLOOD_VESSEL_REMODELING	46	19		
GOBP_RESPONSE_TO_AMPHETAMINE	30		Rejected!	
GOBP_NERVOUS_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	14		Rejected!	
GOBP_RENAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_BLOOD_VOLUME	15		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_HORMONE	38		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	16		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_VASOPRESSIN	5		Rejected!	
GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_NOREPINEPHRINE_EPINEPHRINE	9		Rejected!	
GOBP_RENIN_SECRETION_INTO_BLOOD_STREAM	6		Rejected!	
GOBP_REGULATION_OF_ANGIOTENSIN_LEVELS_IN_BLOOD	9		Rejected!	
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	513	209		
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET	59	31		
GOBP_REGULATION_OF_BLOOD_VOLUME_BY_RENIN_ANGIOTENSIN	9		Rejected!	
GOBP_RESPONSE_TO_DIETARY_EXCESS	29		Rejected!	
GOBP_REDUCTION_OF_FOOD_INTAKE_IN_RESPONSE_TO_DIETARY_EXCESS	6		Rejected!	
GOBP_DIET_INDUCED_THERMOGENESIS	12		Rejected!	
GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION	26		Rejected!	
GOBP_REGULATION_OF_HEART_RATE	105	27		
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	90	41		
GOBP_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	15		Rejected!	
GOBP_BRAIN_RENIN_ANGIOTENSIN_SYSTEM	5		Rejected!	
GOBP_REGULATION_OF_L_GLUTAMATE_IMPORT_ACROSS_PLASMA_MEMBRANE	7		Rejected!	
GOBP_SPROUTING_ANGIOGENESIS	189	53		
GOBP_CELL_MIGRATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	94	27		
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	55		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NEUROBLAST_PROLIFERATION	24		Rejected!	
GOBP_POSITIVE_REGULATION_OF_MESENCHYMAL_CELL_PROLIFERATION	23		Rejected!	
GOBP_CHONDROCYTE_DIFFERENTIATION	110	38		
GOBP_CHONDROCYTE_DEVELOPMENT	31		Rejected!	
GOBP_EPITHELIAL_CELL_DEVELOPMENT	208	101		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DIFFERENTIATION	92	32		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	44	22		
GOBP_GLANDULAR_EPITHELIAL_CELL_DIFFERENTIATION	54	19		
GOBP_GLANDULAR_EPITHELIAL_CELL_DEVELOPMENT	29	15		
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_MATURATION	6		Rejected!	
GOBP_EPITHELIAL_CELL_MATURATION	15		Rejected!	
GOBP_OPTIC_CUP_MORPHOGENESIS_INVOLVED_IN_CAMERA_TYPE_EYE_DEVELOPMENT	7		Rejected!	
GOBP_OSTEOBLAST_DEVELOPMENT	18		Rejected!	
GOBP_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION	24	17		
GOBP_PROTEIN_DEPALMITOYLATION	10		Rejected!	
GOBP_REGULATION_OF_RESPIRATORY_GASEOUS_EXCHANGE_BY_NERVOUS_SYSTEM_PROCESS	13		Rejected!	
GOBP_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE	86	30		
GOBP_LENS_MORPHOGENESIS_IN_CAMERA_TYPE_EYE	22		Rejected!	
GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION	59	29		
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	17		Rejected!	
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	28		Rejected!	
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	18		Rejected!	
GOBP_TRNA_WOBBLE_BASE_MODIFICATION	18	15		
GOBP_TRNA_WOBBLE_URIDINE_MODIFICATION	15		Rejected!	
GOBP_STORE_OPERATED_CALCIUM_ENTRY	21		Rejected!	
GOBP_AGGRESSIVE_BEHAVIOR	8		Rejected!	
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_OSTEOCLAST_PROLIFERATION	8		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATION	148	130		
GOBP_CYTOPLASMIC_TRANSLATIONAL_ELONGATION	13		Rejected!	
GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION	27	23		
GOBP_CAP_DEPENDENT_TRANSLATIONAL_INITIATION	5		Rejected!	
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS	82	63		
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNOGLOBULINS_INVOLVED_IN_IMMUNE_RESPONSE	52	40		
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	58	32		
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	180	117		
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	126	80		
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	27		Rejected!	
GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY	76	37		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS_BY_HOST	31	18		
GOBP_LEUKOCYTE_CHEMOTAXIS_INVOLVED_IN_INFLAMMATORY_RESPONSE	8		Rejected!	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	354	162		
GOBP_RESPONSE_TO_MOLECULE_OF_FUNGAL_ORIGIN	5		Rejected!	
GOBP_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	123	73		
GOBP_WOUND_HEALING_INVOLVED_IN_INFLAMMATORY_RESPONSE	9		Rejected!	
GOBP_CONNECTIVE_TISSUE_REPLACEMENT_INVOLVED_IN_INFLAMMATORY_RESPONSE_WOUND_HEALING	7		Rejected!	
GOBP_LYMPHOCYTE_ANERGY	8		Rejected!	
GOBP_ADAPTIVE_IMMUNE_RESPONSE	719	231		
GOBP_ORGAN_OR_TISSUE_SPECIFIC_IMMUNE_RESPONSE	41		Rejected!	
GOBP_IMMUNE_EFFECTOR_PROCESS	668	305		
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE	379	168		
GOBP_LYMPHOCYTE_HOMEOSTASIS	65	52		
GOBP_MYELOID_CELL_HOMEOSTASIS	161	112		
GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	291	175		
GOBP_MYELOID_LEUKOCYTE_ACTIVATION	234	121		
