NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS		35	0.668763	1.9881357	0.0	7.37257E-4	0.094	1192	tags=51%, list=11%, signal=58%	
HP_ABNORMAL_NUMBER_OF_ERYTHROID_PRECURSORS	HP_ABNORMAL_NUMBER_OF_ERYTHROID_PRECURSORS		34	0.66272026	1.9859686	0.0	8.060593E-4	0.103	2142	tags=59%, list=20%, signal=74%	
GOCC_SMN_SM_PROTEIN_COMPLEX	GOCC_SMN_SM_PROTEIN_COMPLEX		16	0.79620814	1.9847896	0.0	8.1342185E-4	0.105	1885	tags=88%, list=18%, signal=106%	
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I	GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_I		19	0.7715876	1.9791546	0.0	9.9041E-4	0.129	1092	tags=47%, list=10%, signal=53%	
GOBP_AEROBIC_RESPIRATION	GOBP_AEROBIC_RESPIRATION		129	0.5282629	1.9756347	0.0	0.0010547753	0.139	2423	tags=47%, list=23%, signal=61%	
HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_I	HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_I		47	0.6211815	1.97515	0.0	0.0010600078	0.141	1788	tags=40%, list=17%, signal=48%	
GOBP_RNA_5_END_PROCESSING	GOBP_RNA_5_END_PROCESSING		21	0.75522727	1.9695882	0.0	0.001151313	0.152	2029	tags=81%, list=19%, signal=100%	
HP_ABNORMALITY_OF_THE_THENAR_EMINENCE	HP_ABNORMALITY_OF_THE_THENAR_EMINENCE		22	0.732844	1.969536	0.0	0.0011413879	0.152	2022	tags=73%, list=19%, signal=90%	
HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS	HP_ABNORMALITY_OF_ACID_BASE_HOMEOSTASIS		267	0.48706886	1.9616698	0.0	0.0013362007	0.174	1894	tags=36%, list=18%, signal=42%	
GOBP_RNA_EXPORT_FROM_NUCLEUS	GOBP_RNA_EXPORT_FROM_NUCLEUS		68	0.5909641	1.9592235	0.0	0.0013877015	0.182	3307	tags=66%, list=31%, signal=96%	
GOCC_PROTEASOME_ACCESSORY_COMPLEX	GOCC_PROTEASOME_ACCESSORY_COMPLEX		23	0.7322037	1.9580085	0.0	0.0014109918	0.185	2185	tags=70%, list=21%, signal=88%	
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE	GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE		15	0.81249803	1.9573911	0.0	0.0014199782	0.185	472	tags=53%, list=4%, signal=56%	
HP_DUPLICATION_OF_THUMB_PHALANX	HP_DUPLICATION_OF_THUMB_PHALANX		40	0.6367436	1.956433	0.002096436	0.001428723	0.187	2498	tags=58%, list=24%, signal=75%	
HP_ERYTHROID_HYPOPLASIA	HP_ERYTHROID_HYPOPLASIA		24	0.72074205	1.9557776	0.0	0.0014307314	0.188	2142	tags=75%, list=20%, signal=94%	
GOCC_METHYLTRANSFERASE_COMPLEX	GOCC_METHYLTRANSFERASE_COMPLEX		83	0.5570942	1.9541821	0.0	0.0015000069	0.199	1742	tags=39%, list=17%, signal=46%	
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT		67	0.5784709	1.950998	0.0	0.0015609125	0.208	2423	tags=54%, list=23%, signal=69%	
HP_ADENOCARCINOMA_OF_THE_INTESTINES	HP_ADENOCARCINOMA_OF_THE_INTESTINES		33	0.6596404	1.9487973	0.0	0.0016544819	0.222	2022	tags=58%, list=19%, signal=71%	
GOMF_MOLECULAR_CARRIER_ACTIVITY	GOMF_MOLECULAR_CARRIER_ACTIVITY		52	0.5979406	1.948783	0.0	0.0016413511	0.222	1626	tags=42%, list=15%, signal=50%	
GOCC_POLYSOMAL_RIBOSOME	GOCC_POLYSOMAL_RIBOSOME		28	0.6867424	1.94725	0.0	0.0016479426	0.225	2888	tags=82%, list=27%, signal=113%	
HP_ABSENT_THUMB	HP_ABSENT_THUMB		40	0.6339977	1.9459231	0.0	0.0016996545	0.229	2022	tags=50%, list=19%, signal=62%	
GOCC_SPLICEOSOMAL_TRI_SNRNP_COMPLEX	GOCC_SPLICEOSOMAL_TRI_SNRNP_COMPLEX		30	0.6753884	1.9443442	0.0	0.0017248199	0.233	1781	tags=57%, list=17%, signal=68%	
GOCC_U1_SNRNP	GOCC_U1_SNRNP		17	0.76284987	1.9412122	0.0	0.0017816931	0.242	2301	tags=88%, list=22%, signal=113%	
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION	GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_TELOMERIC_REGION		27	0.69408166	1.9394083	0.0	0.0018442685	0.251	1144	tags=44%, list=11%, signal=50%	
HP_PURE_RED_CELL_APLASIA	HP_PURE_RED_CELL_APLASIA		22	0.73136073	1.9375505	0.0	0.0019054394	0.263	2022	tags=73%, list=19%, signal=90%	
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS	GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS		41	0.628767	1.9360919	0.0	0.0019035513	0.265	1192	tags=41%, list=11%, signal=47%	
HP_INCREASED_CSF_LACTATE	HP_INCREASED_CSF_LACTATE		72	0.5630843	1.9358145	0.0	0.0018893457	0.265	3483	tags=67%, list=33%, signal=99%	
HP_PREMATURE_LOSS_OF_TEETH	HP_PREMATURE_LOSS_OF_TEETH		29	0.6838799	1.9319642	0.0	0.002059164	0.289	235	tags=17%, list=2%, signal=18%	
GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS		27	0.68856007	1.9246432	0.0	0.0023728556	0.326	1192	tags=56%, list=11%, signal=63%	
GOCC_CAJAL_BODY	GOCC_CAJAL_BODY		54	0.60065675	1.9237576	0.0	0.0023855718	0.33	2374	tags=48%, list=23%, signal=62%	
GOBP_SPERM_EGG_RECOGNITION	GOBP_SPERM_EGG_RECOGNITION		18	0.7486981	1.9223384	0.0	0.002410389	0.336	1309	tags=56%, list=12%, signal=63%	
GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS	GOBP_NUCLEOBASE_BIOSYNTHETIC_PROCESS		15	0.7902841	1.9179518	0.0	0.0026370408	0.369	1032	tags=73%, list=10%, signal=81%	
HP_ADENOCARCINOMA_OF_THE_COLON	HP_ADENOCARCINOMA_OF_THE_COLON		26	0.7019539	1.914369	0.0	0.0027542366	0.385	2022	tags=65%, list=19%, signal=81%	
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT		37	0.6392233	1.9127649	0.002016129	0.0028051059	0.39	2142	tags=70%, list=20%, signal=88%	
GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION	GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION		71	0.5592544	1.9101939	0.0	0.0028728254	0.399	2208	tags=39%, list=21%, signal=50%	
GOBP_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS	GOBP_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS		62	0.5687459	1.9099736	0.0	0.002858544	0.4	1144	tags=32%, list=11%, signal=36%	
HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL	HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL		30	0.67271596	1.9090625	0.0	0.0028673466	0.402	2022	tags=67%, list=19%, signal=82%	
GOBP_PSEUDOURIDINE_SYNTHESIS	GOBP_PSEUDOURIDINE_SYNTHESIS		18	0.754844	1.906554	0.0	0.0029673479	0.416	374	tags=39%, list=4%, signal=40%	
HP_APLASIA_OF_THE_FINGERS	HP_APLASIA_OF_THE_FINGERS		49	0.6001909	1.9052224	0.002202643	0.0030035204	0.421	2048	tags=45%, list=19%, signal=56%	
GOBP_MITOCHONDRIAL_TRANSPORT	GOBP_MITOCHONDRIAL_TRANSPORT		142	0.5029949	1.9013841	0.0	0.0032406403	0.45	1469	tags=31%, list=14%, signal=36%	
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME		78	0.5527787	1.8995507	0.0	0.0033028668	0.456	2796	tags=55%, list=27%, signal=75%	
GOCC_TELOMERASE_HOLOENZYME_COMPLEX	GOCC_TELOMERASE_HOLOENZYME_COMPLEX		21	0.71258456	1.8993617	0.0	0.0032974754	0.458	2081	tags=62%, list=20%, signal=77%	
GOMF_CIS_TRANS_ISOMERASE_ACTIVITY	GOMF_CIS_TRANS_ISOMERASE_ACTIVITY		29	0.67574555	1.8989152	0.0	0.0033090462	0.461	1498	tags=48%, list=14%, signal=56%	
GOBP_CELLULAR_RESPIRATION	GOBP_CELLULAR_RESPIRATION		162	0.49610448	1.8968341	0.0	0.0034346732	0.473	2423	tags=45%, list=23%, signal=58%	
GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA	GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA		16	0.7698944	1.8949885	0.0	0.003487829	0.479	1309	tags=63%, list=12%, signal=71%	
