© 2000-2022 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules	
Huntington's Disease Signaling	1.15E00	2.83E-02	-1.890	CAPN2,GNA15,HIP1,JUN,PENK,PLCB4,SGK1,STX1A	
Gαs Signaling	1.14E00	4E-02	NaN	ADCY6,CNGA1,GNA15,RYR1,VIPR1	
Fatty Acid Activation	1.12E00	1.33E-01	NaN	ACSBG1,ACSF2	
B Cell Development	1.12E00	6.82E-02	NaN	CD86,HLA-A,HLA-DOB	
IL-6 Signaling	1.12E00	3.91E-02	-0.447	IL18,IL1R1,IL1R2,JUN,SOCS3	
FAK Signaling	1.11E00	1.83E-02	-2.065	CAPN2,F2RL1,GABBR1,GPR146,GPR25,IL17RE,IL1R1,IL1R2,IL2RA,ITGA7,JUN,KIT,KLF8,S1PR1,S1PR3,SOCS3,TCF4,TGFB3,VIPR1	
Coronavirus Replication Pathway	1.11E00	6.67E-02	NaN	IFITM2,TUBB2B,TUBB6	
Osteoarthritis Pathway	1.11E00	2.97E-02	-0.447	ACVRL1,IL1R1,IL1R2,ITGA7,RUNX2,S1PR3,TCF4	
IL-23 Signaling Pathway	1.1E00	6.52E-02	NaN	IL21,RORC,SOCS3	
Acute Phase Response Signaling	1.09E00	3.24E-02	-0.447	HMOX1,IL18,IL1R1,JUN,SOCS3,TCF4	
SNARE Signaling Pathway	1.08E00	3.68E-02	-2.236	ADCY6,CACNB1,STX1A,SYT11,SYT13	
Role of PKR in Interferon Induction and Antiviral Response	1.08E00	3.68E-02	0.447	DDX58,FASLG,IFNG,IL18,JUN	
nNOS Signaling in Skeletal Muscle Cells	1.08E00	6.25E-02	NaN	CACNA2D4,CACNB1,RYR1	
GNRH Signaling	1.05E00	3.12E-02	-2.000	ADCY6,CACNA2D4,CACNB1,GNA15,JUN,PLCB4	
Chondroitin Sulfate Biosynthesis (Late Stages)	1.05E00	6E-02	NaN	CHST10,CHST15,CHSY1	
Gαi Signaling	1.05E00	3.57E-02	0.000	ADCY6,GABBR1,GNA15,S1PR1,S1PR3	
Apelin Endothelial Signaling Pathway	1.04E00	3.55E-02	0.000	ADCY6,GNA15,JUN,PLCB4,VCAM1	
γ-linolenate Biosynthesis II (Animals)	1.03E00	1.05E-01	NaN	ACSBG1,ACSF2	
Mitochondrial L-carnitine Shuttle Pathway	1.03E00	1.05E-01	NaN	ACSBG1,ACSF2	
IL-1 Signaling	1.02E00	4.17E-02	NaN	ADCY6,GNA15,IL1R1,JUN	
TGF-β Signaling	1.02E00	4.17E-02	0.000	IRF7,JUN,RUNX2,TGFB3	
ID1 Signaling Pathway	1.02E00	3E-02	-0.816	ACVRL1,BCL3,BHLHE40,FGR,PLAC8,TGFB3	
Molecular Mechanisms of Cancer	1.02E00	2.24E-02	NaN	ADCY6,BCL2L11,FASLG,GNA15,ITGA7,JUN,PLCB4,TCF4,TGFB3,WNT10A	
Role of Cytokines in Mediating Communication between Immune Cells	1.01E00	5.56E-02	NaN	IFNG,IL18,IL21	
Cardiac Hypertrophy Signaling	1.01E00	2.69E-02	-2.236	ADCY6,CACNA2D4,CACNB1,GNA15,JUN,PLCB4,TGFB3	
Endocannabinoid Neuronal Synapse Pathway	1E00	3.36E-02	-1.342	ADCY6,CACNA2D4,CACNB1,GNA15,PLCB4	
Corticotropin Releasing Hormone Signaling	9.83E-01	3.31E-02	NaN	ADCY6,CACNA2D4,CACNB1,FASLG,JUN	
Spermidine Biosynthesis I	9.75E-01	5E-01	NaN	SRM	
Type II Diabetes Mellitus Signaling	9.75E-01	3.27E-02	NaN	ACSBG1,ACSF2,CACNA2D4,CACNB1,SOCS3	
Chondroitin Sulfate Biosynthesis	9.59E-01	5.17E-02	NaN	CHST10,CHST15,CHSY1	
Colorectal Cancer Metastasis Signaling	9.59E-01	2.58E-02	0.447	ADCY6,GNA15,IFNG,JUN,TCF4,TGFB3,WNT10A	
CREB Signaling in Neurons	9.51E-01	1.98E-02	-2.111	ADCY6,CACNA2D4,CACNB1,F2RL1,GABBR1,GNA15,GPR146,GPR25,PLCB4,S1PR1,S1PR3,VIPR1	
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	9.51E-01	8.7E-02	NaN	IFNG,RSAD2	
