"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"8548"	"St6gal1"	4836	-1.0480415359872	7.49948824910336	254.432752954056	1.46427150405363e-10	1.79817022336675e-08
"4366"	"Impdh2"	1625	1.6260483782286	7.44985446616636	249.924416437272	1.65482053963367e-10	1.85467430074452e-08
"6045"	"Nup85"	2159	1.59597272247382	6.99860175460993	249.836768687699	1.6587952832539e-10	1.85467430074452e-08
"6002"	"Nudc"	1347	1.4078477528029	7.34554568421824	250.622204859804	1.62356050267011e-10	1.85467430074452e-08
"8003"	"Sigirr"	1990	-1.34796818854598	6.81783191043975	250.593807661631	1.62481945906577e-10	1.85467430074452e-08
"4493"	"Itpr2"	11823	-1.26326436574826	7.3202865033401	250.828405635754	1.61445207899567e-10	1.85467430074452e-08
"4181"	"Hsd11b1"	1445	-1.73943068121303	7.55897972969797	248.632379949436	1.71452914910948e-10	1.87705222470214e-08
"6040"	"Nup37"	1369	1.48690127266691	5.85246164308007	248.961421036073	1.69909367091277e-10	1.87705222470214e-08
"4032"	"Hexa"	1865	-1.44615011954619	5.94529192672753	247.424572240016	1.77257281484398e-10	1.92059178185673e-08
"3041"	"Eva1b"	1363	-1.85516711814846	5.46069841881233	246.820921903739	1.802419030503e-10	1.93300245005985e-08
"5973"	"Nsmf"	2939	-1.30182947285364	5.22073448196782	245.471603281289	1.87122578442436e-10	1.98652353477778e-08
"4927"	"Lsm3"	631	1.08575981470585	7.34011862942602	244.712063889397	1.9112709180324e-10	2.00874573485205e-08
"6106"	"Orc6"	1654	1.86776786848391	6.26951064700475	244.11382493192	1.94349955726046e-10	2.01304349211289e-08
"6371"	"Pfas"	6369	1.86156747624254	6.01730634956324	243.234968888539	1.99197453073017e-10	2.01304349211289e-08
"3177"	"Fam214a"	4521	-1.72767650233278	4.75632733453675	243.476727121817	1.97850398518947e-10	2.01304349211289e-08
"1656"	"Cd37"	1382	-1.26925809932465	7.92473666611378	243.780374931828	1.96173172669198e-10	2.01304349211289e-08
"5004"	"Malat1"	6982	-2.81611157635761	10.5217817781446	241.393499851467	2.09807697931151e-10	2.07122019079765e-08
"7990"	"Shmt1"	2065	2.09769574989848	5.93232599112131	241.828576245276	2.07243960905475e-10	2.07122019079765e-08
"7125"	"Rab37"	2806	-1.43897983624377	7.96163302937011	241.215601004443	2.1086637527626e-10	2.07122019079765e-08
"9496"	"Tuba1b"	1562	1.92338294162412	9.80215910647242	239.762086334033	2.19747865617268e-10	2.11566020453221e-08
"8896"	"Tfrc"	4914	1.90048497464515	6.2590575051295	238.802930328983	2.25841892540231e-10	2.11566020453221e-08
"4206"	"Hspa9"	3042	1.78143986334553	8.11239698670508	239.50850794955	2.21340575684092e-10	2.11566020453221e-08
"5674"	"Nasp"	3155	1.76324491596473	6.89572636849833	238.290300282047	2.29177687821094e-10	2.11566020453221e-08
