"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"6238"	"Neat1"	20773	-1.78865783299121	4.91491638558419	219.824361515903	4.27097121183038e-10	3.16332854623595e-08
"2817"	"Eif2s2"	2513	0.973291183233354	7.11772950722846	219.51394553726	4.31195306646325e-10	3.17280834132309e-08
"4419"	"Hmgb1"	3193	0.982605978297834	9.4888808159327	219.001859848189	4.38054308243021e-10	3.20234766376619e-08
"2204"	"Ctps"	3089	2.05535968474977	6.27858207117519	218.466879763809	4.45353084580112e-10	3.21396476038648e-08
"648"	"Ankrd12"	13693	-1.78084763500317	6.45920984427945	218.5166709683	4.44667962295164e-10	3.21396476038648e-08
"1129"	"Banf1"	1209	1.06173105600001	8.16782495258142	218.18664826311	4.49231552317737e-10	3.22130497833954e-08
"6884"	"Pglyrp1"	681	-2.03428637191533	3.97996211665521	217.500745838167	4.58888063198258e-10	3.24915837451949e-08
"4371"	"Hexa"	2334	-1.39377928753181	5.80114117322892	217.562117710299	4.58014467980029e-10	3.24915837451949e-08
"8743"	"Slc41a3"	3441	-2.01006885500622	4.08822938355151	215.298494253782	4.9152922773793e-10	3.35586705526822e-08
"1878"	"Cinp"	2179	1.66597910731797	5.56203235460242	216.133456195288	4.78851810480978e-10	3.35586705526822e-08
"2718"	"E2f4"	1993	1.6264866558487	7.16416515682017	215.728596263719	4.84951758973156e-10	3.35586705526822e-08
"6164"	"Ncl"	8770	1.53817484089994	9.50601316390951	215.009237473136	4.96009949302607e-10	3.35586705526822e-08
"6387"	"Nop56"	5989	1.43616727862314	7.9564066300196	215.656033716032	4.8605437729184e-10	3.35586705526822e-08
"7374"	"Prmt5"	2720	1.3762163626857	6.78155399509267	214.950977700329	4.9691804113408e-10	3.35586705526822e-08
"5247"	"Lime1"	1959	-1.3582424965321	8.03985545972418	215.686277849732	4.85594458175188e-10	3.35586705526822e-08
"4337"	"Hdgf"	2997	1.2200477013665	6.42960397586681	214.894137945047	4.9780582539509e-10	3.35586705526822e-08
"4486"	"Hsdl1"	3760	-1.20369029456653	7.57141420054148	214.038782095287	5.11386344299763e-10	3.42689730007543e-08
"7146"	"Pold1"	4642	1.83706180783038	7.20842755001533	212.359492439407	5.39295095163338e-10	3.59253501854962e-08
"9421"	"Tcn2"	2260	-2.57128462287562	4.16538027569053	211.944788217476	5.46451855007985e-10	3.60902866045398e-08
"7478"	"Psme3"	4118	1.29202797254353	8.14460233930589	211.845431345786	5.48182537695532e-10	3.60902866045398e-08
"4004"	"Gmnn"	2648	1.97773405136594	6.63874361262841	211.643588551587	5.5171767533172e-10	3.61118464470029e-08
"831"	"Arid5b"	9976	-2.50191435201532	5.5669733312233	211.263912987954	5.5843805680756e-10	3.61315841582731e-08
"5354"	"Lsm2"	1133	1.59743649088634	6.62021917628966	211.415619615498	5.5574167244635e-10	3.61315841582731e-08
"1735"	"Cenpw"	1579	1.93288137153788	5.39433882897877	210.842764249252	5.66001893093214e-10	3.64117103568194e-08
"5334"	"Lrrc59"	2834	2.821792554572	6.85945346210306	210.479424325851	5.72621388713099e-10	3.65933213415265e-08
"7868"	"Rfc4"	1216	2.10937771742356	6.38816521834503	210.332355584031	5.75325801869799e-10	3.65933213415265e-08
"79"	"2310001H17Rik"	769	-2.25632673222334	6.71418301578272	209.954448814019	5.8234204634648e-10	3.6721253284654e-08
"9478"	"Tfdp1"	3838	2.1029092240664	7.38770945254153	209.699922803163	5.87122543190418e-10	3.6721253284654e-08
"7799"	"Rbmxl1"	2391	1.36859268191602	6.6916429200834	209.739777624924	5.863710473073e-10	3.6721253284654e-08
"1864"	"Chtf18"	3199	2.39708103292004	5.22020998718351	209.47065590763	5.914669360802e-10	3.67885898695629e-08
"8921"	"Snrpa1"	1250	1.3157584139542	7.21275605201756	208.924513482131	6.01964180214369e-10	3.72357842904031e-08
"9070"	"Srm"	1328	3.4389357165295	6.21045073765381	208.716711138011	6.06013920310201e-10	3.72814465292472e-08
"4236"	"H2-Q5"	1181	-2.451235440714	4.16355961894661	208.486366058054	6.10539307738616e-10	3.73557148180508e-08
"4324"	"Hcst"	442	-2.35344446916746	7.75959837990365	208.051546182776	6.19187190541124e-10	3.7477469844688e-08
"10247"	"Txn1"	1051	1.24502225047182	8.69344561903196	208.112239428495	6.17971756662279e-10	3.7477469844688e-08
"2849"	"Eif5a"	2097	1.36788050705792	9.90662807456984	207.792678948074	6.24401905566689e-10	3.75909981436887e-08
"1355"	"Cacybp"	2115	1.13696074618793	7.80270054240174	207.535502233033	6.2963217783027e-10	3.77042503085807e-08
"2437"	"Dennd1c"	2998	-1.23111433947847	7.31033086951698	206.499771059839	6.51207607025432e-10	3.85857644204859e-08
"1565"	"Cct4"	1966	1.00072096523869	8.40517247845706	206.578526708475	6.49537764147196e-10	3.85857644204859e-08
"3429"	"Gars"	2390	1.55985899748203	7.7070122293669	206.142899170597	6.58835866633134e-10	3.88333727044807e-08
"4526"	"Iars"	4501	1.6816980618772	7.10193971804661	205.784220699803	6.66605509529451e-10	3.9086691803555e-08
"10310"	"Ube2h"	4780	-1.46905339734167	6.20339729801408	205.37320684563	6.75637511340236e-10	3.94110212573491e-08
"1173"	"Bcl6"	5043	-2.40022703851524	5.89035475472701	205.204981644792	6.79374405516803e-10	3.94247270995266e-08
"8397"	"Seh1l"	4121	1.29987732368783	5.8582305622549	204.9320795662	6.85486759561656e-10	3.95754355853596e-08
"3386"	"G3bp1"	3139	1.20899627211958	9.47112907077493	204.623356908817	6.92477083493693e-10	3.97750357447551e-08
"6521"	"Nup54"	3148	1.21517733059771	5.76520605707978	204.393924849378	6.97724681870726e-10	3.98730176066022e-08
"10147"	"Tspan32"	2331	-1.28714477540235	8.57350128194528	204.118480617881	7.04084634379675e-10	4.00332566355878e-08
"6378"	"Nolc1"	3665	1.633601104165	6.69626765079616	203.33889411926	7.22446219556378e-10	4.08708519586216e-08
"3189"	"Fbl"	1429	1.20538458947342	7.20389267265996	202.302613139239	7.47704623859488e-10	4.20882932770506e-08
"9423"	"Tcp1"	2499	1.46245042079347	8.12101240770014	201.981468072281	7.55735396957926e-10	4.23287019848375e-08
"549"	"Akap8l"	4161	-1.77254724524305	6.91428842722943	201.629207143825	7.64657527129985e-10	4.26164081209375e-08
