"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"6507"	"Nup107"	3145	2.03078157448134	6.7969749920754	253.773076397103	1.61196133487628e-10	4.31165200738018e-08
"8599"	"Slbp"	1906	2.00526796014529	8.10334963893096	237.556269217158	2.52547365854139e-10	4.31165200738018e-08
"8669"	"Slc26a11"	3862	-1.96317253310913	5.29576288670379	241.052312345948	2.28697951828129e-10	4.31165200738018e-08
"1357"	"Calcoco1"	3603	-1.9353351099597	5.29810038541826	236.505446065684	2.60261038911677e-10	4.31165200738018e-08
"1533"	"Ccnd2"	8245	-1.90514513106444	8.44464890915797	251.426160479843	1.71723205248081e-10	4.31165200738018e-08
"6129"	"Nasp"	7011	1.81825956443716	6.88990411845664	232.636435712572	2.91069064275087e-10	4.31165200738018e-08
"7703"	"Ran"	2308	1.70561544764791	9.80819639613424	239.246587081588	2.40679546403691e-10	4.31165200738018e-08
"2157"	"Cse1l"	3659	1.68863792499763	7.17097665025911	249.414756325787	1.81371952283478e-10	4.31165200738018e-08
"10323"	"Ube2s"	988	1.63236753930674	7.17022631748235	237.370308730655	2.53893249234189e-10	4.31165200738018e-08
"9547"	"Timeless"	8139	1.60793016552109	6.40062505025674	240.249458839648	2.33939187117071e-10	4.31165200738018e-08
"4913"	"Kdm5b"	8146	-1.56221076473357	5.92326790755574	244.846020577038	2.05673495256465e-10	4.31165200738018e-08
"7766"	"Rbm14"	3168	1.51011399105809	6.77626479296839	238.769437733464	2.43964000385539e-10	4.31165200738018e-08
"6557"	"Odf2"	8819	1.48975618159904	6.87524189019372	236.810519174384	2.57994303825016e-10	4.31165200738018e-08
"4166"	"Gstp3"	1152	-1.43657738948451	7.0135340209145	246.51822599576	1.96372133847823e-10	4.31165200738018e-08
"6721"	"Pbxip1"	4705	-1.37018403430643	7.17320697310235	233.627464148346	2.82799304793714e-10	4.31165200738018e-08
"8425"	"Sephs2"	2181	1.28989998972292	6.91467747453722	238.099015976262	2.48665506512922e-10	4.31165200738018e-08
"2578"	"Dnajc9"	1631	1.22418011563199	7.39650991202782	238.084804537978	2.48766279416375e-10	4.31165200738018e-08
"5632"	"Melk"	2955	3.06112138361422	5.91371177710455	231.070395883616	3.04705238820957e-10	4.39791228031582e-08
"6518"	"Nup37"	1385	1.44034677632866	5.84925144076932	231.351592845672	3.02204009259602e-10	4.39791228031582e-08
"6769"	"Pdcd4"	8749	-1.59742671102456	7.73974612424453	230.316914499115	3.11524526148514e-10	4.43942166503793e-08
"3065"	"Faah"	5155	-1.31265315282582	7.70909513176156	229.87333270314	3.15620367012263e-10	4.44156761478007e-08
"7701"	"Ramp1"	5991	-2.93173198636592	6.155750746446	229.01396735088	3.23731208500235e-10	4.44892036811555e-08
"5438"	"Malat1"	6983	-2.6989324694391	10.4700381714709	227.907927785289	3.34522116010798e-10	4.44892036811555e-08
"6857"	"Pfas"	6369	1.8744907143466	6.00284665995529	227.457771062701	3.39030918189419e-10	4.44892036811555e-08
"648"	"Ankrd12"	13693	-1.8018969977296	6.45920984427945	226.988469818006	3.43805357990809e-10	4.44892036811555e-08
"4509"	"Hspd1"	2588	1.58737390100786	8.55142082718162	228.296619712574	3.30683859988581e-10	4.44892036811555e-08
"5387"	"Lyar"	1938	1.55826808988696	6.03878702074858	227.233405269761	3.41304014782841e-10	4.44892036811555e-08
"2055"	"Coq7"	1658	1.4605135115429	5.01289936892055	227.125503609839	3.42403369713287e-10	4.44892036811555e-08
"1824"	"Chek1"	4133	3.03007242741911	4.72367464170385	224.708011643061	3.68124230159451e-10	4.65656470015179e-08
