"gene"	"length"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"6750"	"Ppm1m"	2070	-1.62453079855173	5.18482753454241	43.5004907471585	1.03539013649372e-05	0.0021763900669098
"5957"	"Nrn1"	1622	1.47783202771044	3.89572955528352	43.1628166119176	1.08086147532218e-05	0.00222742237365414
"5120"	"Mcat"	1893	-1.27224112469549	4.7345614311492	42.9398631247595	1.11213139414719e-05	0.00224778864470904
"1683"	"Cd86"	2539	1.307532683641	4.26102125560896	42.3201430366817	1.20460689860262e-05	0.00230189427351156
"778"	"Ap3s1"	1561	-0.841071186001295	6.17140474454875	42.3717879665991	1.19657433085516e-05	0.00230189427351156
"4489"	"Itpk1"	2856	-0.686689087438934	5.45825843698537	42.4021150457083	1.19188587395667e-05	0.00230189427351156
"5616"	"Myo6"	7868	2.46527978745638	3.91943029767594	41.2024521635751	1.39444968594528e-05	0.00252683899987671
"8390"	"Socs1"	1339	-1.01492154073537	4.60830498933013	41.3120586369917	1.37439758477041e-05	0.00252683899987671
"8516"	"Srsf6"	3546	-0.400879317158414	8.16626980221537	41.232676009902	1.38888725076778e-05	0.00252683899987671
"9059"	"Tmem160"	815	-1.78889441013336	5.68546330570982	41.0448939959544	1.42386119385047e-05	0.00253640358429973
"10129"	"Zdhhc7"	2854	-1.1497876709991	5.6096887376322	40.6066087413111	1.50946581319291e-05	0.00256510875365273
"6192"	"Panx1"	2075	-0.844988670173329	5.8937742475845	40.7296160201749	1.4848623845104e-05	0.00256510875365273
"2478"	"Dennd2d"	4429	-0.572000269754449	8.93312308706697	40.5881662445563	1.51319450738791e-05	0.00256510875365273
"3148"	"Fam174a"	2107	-1.10592965634496	5.16220121103887	40.1914372297056	1.59600312427192e-05	0.00262093638064029
"7810"	"Sdccag3"	2195	-0.52240737198287	6.29390927549237	40.1963469454133	1.59494726113702e-05	0.00262093638064029
"1285"	"Bloc1s4"	1306	-1.44987373029751	3.88616182949221	39.7561093862209	1.69286958296107e-05	0.0027372398949109
"1748"	"Cdk9"	3389	-1.05260405714665	6.10821494815253	39.3831295500042	1.78121732818794e-05	0.00282944072692002
"8835"	"Tcf3"	3547	-0.744728153887267	6.58829570846625	39.2914324149272	1.80373481164264e-05	0.00282944072692002
"6508"	"Pink1"	2366	-1.10622642172985	5.72463398371873	39.0319188263345	1.86924066125307e-05	0.00288907637496614
"2411"	"Dcun1d5"	1201	-0.770786426342685	6.97567616141102	38.8605264067449	1.91398938972965e-05	0.00291536644725487
"7364"	"Rfxap"	2162	-1.3717164117692	4.71764189138924	38.034032707702	2.14766530313393e-05	0.00302136983574472
"6743"	"Ppm1b"	5035	-1.31394322172299	6.14522284334173	37.8345982486203	2.20881677249238e-05	0.00302136983574472
"8950"	"Ticrr"	7196	1.13295015338681	5.18873653793916	38.0962286201081	2.12899089324881e-05	0.00302136983574472
